martin,22
kik,16
j,34
y,27
h,0
kkkkk,18
Noname,0
k,11
h,0
g,7
yaSharik,13
f,5
f,7
75321598465fghkdkkfkdkhgdghdhdhdhdhdhdhdhhdjmj,20
f,19
f,14
f,0
fg,5
ghghghgg,18
h,5
f,1
f,0
Noname,1
f,2
d,3
f,0
f,3
f,13
f,11
f,0
f,0
g,10
f,2
f,0
f,0
f,0
g,1
g,0
f,13
f,3
f,0
f,0
f,2
f,1
f,0
g,0
g,0
f,3
f,0
f,5
f,7
f,17
f,9
d,0
d,0
d,1
d,0
d,0
f,0
d,0
d,0
f,0
f,5
d,0
Noname,0
f,0
f,0
f,18
f,8
f,0
h,0
f,0
f,0
k,0
g,0
d,0
f,6
f,0
c,75
j,0
l,0
d,0
d,0
f,0
f,0
g,0
Noname,0
g,1
